файл;строка;ключ;было;стало;тип
01_ef_je;134;speculative_share_12_button_desc;Правительство стремится стимулировать частное строительство, снизив базовую ставку, что приведёт к строительству #b 20 [GetBuildingType('building_ef_private_construction').GetName]#!. Этот проект создаст денежную массу в размере #b [GetPlayer.MakeScope.ScriptValue('private_bank_funds_proportion_by_psc_20_by_rarity')|D]#! [GetPlayer.GetCustom('global_monetary_reference_currency_good')], что соответствует #b 12%#! средств частных банков, умноженным на коэффициент редкости Сектора частного строительства #b (Rarety Facto:[GetPlayer.MakeScope.ScriptValue('rarity_factor')|D])#!. Чрезмерное денежное расширение может привести к риску дестабилизации валюты и запуску «Перестроенной экономики».;Правительство стремится стимулировать частное строительство, снизив ключевую ставку, что приведёт к строительству #b 20 [GetBuildingType('building_ef_private_construction').GetName]#!. Этот проект создаст денежную массу в размере #b [GetPlayer.MakeScope.ScriptValue('private_bank_funds_proportion_by_psc_20_by_rarity')|D]#! [GetPlayer.GetCustom('global_monetary_reference_currency_good')], что соответствует #b 12%#! средств частных банков, умноженным на коэффициент редкости Сектора частного строительства #b (коэф. редкости: [GetPlayer.MakeScope.ScriptValue('rarity_factor')|D])#!. Чрезмерное денежное расширение может привести к риску дестабилизации валюты и запуску «Перестроенной экономики».;A/непереведено,C/base rate
01_ef_je;138;speculative_share_12_button_tt_effect_1;Базовая ставка будет снижена на #b 4%#! и не может быть изменена в течение #b 1 года#!.;Ключевая ставка будет снижена на #b 4%#! и не может быть изменена в течение #b 1 года#!.;C/base rate
01_ef_je;146;status_central_bank_2;После открытия технологии «Валютный стандарт» в разных штатах страны обращаются различные виды банкнот без какой-либо централизованной унификации;После открытия технологии «Валютные стандарты» в разных областях страны обращаются различные виды банкнот без какой-либо централизованной унификации;A/штат→область,C/технология
01_ef_je;184;overbuilt_economy_progress_bar;Прогресс перегретой экономики;Прогресс перестроенной экономики;C/overbuilt
01_ef_je;185;overbuilt_economy_progress_bar_desc;#v Прогресс перегретой экономики: [GetPlayer.MakeScope.Var('speculative_share_2').GetValue]%#!;#v Прогресс перестроенной экономики: [GetPlayer.MakeScope.Var('speculative_share_2').GetValue]%#!;C/overbuilt
01_ef_je;188;speculative_bubble_character_modifier;Персонаж: спекулятивный пузырь;Спекулятивный пузырь (персонаж);A/связность
01_ef_je;189;overbuilt_economy_modifier;Перегретая экономика;Перестроенная экономика;C/overbuilt
01_ef_je;192;speculative_share_modifier_3;Указ об ужесточении кредитно-валютных условий;Указ об ужесточении кредита и валютных операций;C/указ
01_ef_je;193;speculative_share_modifier_4;Чрезвычайный указ о приостановке финансового рынка;Экстренный указ о приостановке финансовых рынков;C/указ
01_ef_je;204;(raw);"  status_speculative_share_2_5:0 ""\n Строительство: #n Бум сверхстроительства#! — частный капитал заполняет строительный сектор.";"  status_speculative_share_2_5:0 ""\n Строительство: #n Бум сверхстроительства#! — частный капитал заполняет строительный сектор.""";A/незакрытая кавычка
01_ef_je;292;silver_crisis_je_1_reason;Резкий обвал мировой цены на серебро, вызванный денежными реформами США 1873 года #v (The Coinage Act of 1873)#!, постепенно дестабилизирует все государства, чьи валюты опираются на #v биметаллизм#! или #v серебряный стандарт#!.\n\nПо мере того как разрыв между официальным паритетом и международной стоимостью серебра растёт, наша денежная система становится всё более уязвимой к арбитражу, оттоку золота и общему падению доверия.\n\nЭта запись журнала отражает развитие этой #v глобальной валютной кризисной ситуации#!: падение стоимости серебра, атаки на национальные резервы, внутреннее политическое давление и последующий рост нестабильности.\n\nПока наша страна сохраняет валюту, основанную на серебре — будь то #v серебряный стандарт#! или #v биметаллический режим#! — мы будем оставаться подвержены этим нарастающим напряжениям.\n\nКонечная цель этого журнала — переход к стабильному #v золотому стандарту#!, который положит конец структурной нестабильности, вызванной обесценением серебра.\n\nЭта запись журнала в настоящее время применяется ко всем государствам, использующим серебро как основу своей денежной системы.;Резкий обвал мировой цены на серебро, вызванный денежными реформами США 1873 года #v «Монетный акт 1873 года»#!, постепенно дестабилизирует все государства, чьи валюты опираются на #v биметаллизм#! или #v серебряный стандарт#!.\n\nПо мере того как разрыв между официальным паритетом и международной стоимостью серебра растёт, наша денежная система становится всё более уязвимой к арбитражу, оттоку золота и общему падению доверия.\n\nЭта запись журнала отражает развитие этой #v глобальной валютной кризисной ситуации#!: падение стоимости серебра, атаки на национальные резервы, внутреннее политическое давление и последующий рост нестабильности.\n\nПока наша страна сохраняет валюту, основанную на серебре — будь то #v серебряный стандарт#! или #v биметаллический режим#! — мы будем оставаться подвержены этим нарастающим напряжениям.\n\nКонечная цель этого журнала — переход к стабильному #v золотому стандарту#!, который положит конец структурной нестабильности, вызванной обесценением серебра.\n\nЭта запись журнала в настоящее время применяется ко всем государствам, использующим серебро как основу своей денежной системы.;C/термин
01_ef_je;294;silver_crisis_je_1_desc.1;В США был принят Coinage Act 1873 года;В США был принят Монетный акт 1873 года;C/термин
01_ef_je;325;speculative_share_5_button_tt_effect_1;- Начинает строительство 5 ур. [GetBuildingType('building_financial_centre').GetName] в случайном штате как частное строительство\n- Блокирует расширение [GetBuildingType('building_financial_centre').GetName] на 12 месяцев\n- Даёт модификатор [GetStaticModifier('down_base_rate').GetName|v] на 12 месяцев;- Начинает строительство 5 ур. [GetBuildingType('building_financial_centre').GetName] в случайной области как частное строительство\n- Блокирует расширение [GetBuildingType('building_financial_centre').GetName] на 12 месяцев\n- Даёт модификатор [GetStaticModifier('down_base_rate').GetName|v] на 12 месяцев;A/штат→область
01_ef_je;327;speculative_share_6_button_tt_effect_1;- Начинает строительство 10 ур. [GetBuildingType('building_financial_centre').GetName] в случайном штате как частное строительство\n- Блокирует расширение [GetBuildingType('building_financial_centre').GetName] на 12 месяцев\n- Даёт модификатор [GetStaticModifier('down_base_rate').GetName|v] на 12 месяцев;- Начинает строительство 10 ур. [GetBuildingType('building_financial_centre').GetName] в случайной области как частное строительство\n- Блокирует расширение [GetBuildingType('building_financial_centre').GetName] на 12 месяцев\n- Даёт модификатор [GetStaticModifier('down_base_rate').GetName|v] на 12 месяцев;A/штат→область
01_ef_je;329;speculative_share_7_button_tt_effect_1;- Начинает строительство 15 ур. [GetBuildingType('building_financial_centre').GetName] в случайном штате как частное строительство\n- Блокирует расширение [GetBuildingType('building_financial_centre').GetName] на 12 месяцев\n- Даёт модификатор [GetStaticModifier('down_base_rate').GetName|v] на 12 месяцев;- Начинает строительство 15 ур. [GetBuildingType('building_financial_centre').GetName] в случайной области как частное строительство\n- Блокирует расширение [GetBuildingType('building_financial_centre').GetName] на 12 месяцев\n- Даёт модификатор [GetStaticModifier('down_base_rate').GetName|v] на 12 месяцев;A/штат→область
01_ef_je;331;speculative_share_8_button_tt_effect_1;- Начинает строительство 20 ур. [GetBuildingType('building_financial_centre').GetName] в случайном штате как частное строительство\n- Блокирует расширение [GetBuildingType('building_financial_centre').GetName] на 12 месяцев\n- Даёт модификатор [GetStaticModifier('down_base_rate').GetName|v] на 12 месяцев;- Начинает строительство 20 ур. [GetBuildingType('building_financial_centre').GetName] в случайной области как частное строительство\n- Блокирует расширение [GetBuildingType('building_financial_centre').GetName] на 12 месяцев\n- Даёт модификатор [GetStaticModifier('down_base_rate').GetName|v] на 12 месяцев;A/штат→область
01_ef_je;334;speculative_share_9_button_tt_effect_1_1;- Строит 5 [GetBuildingType('building_ef_private_construction').GetName] в случайном штате\n- Блокирует расширение [GetBuildingType('building_ef_private_construction').GetName] на 12 месяцев\n- $speculative_share_9_button_tt_effect_1$\n- [GetPlayer.GetName] получает [GetStaticModifier('down_base_rate').GetName|v] на 12 месяцев\n- [GetPlayer.GetName] получает [GetStaticModifier('speculative_share_modifier_5').GetName|v] на 12 месяцев\n- [GetPlayer.GetName] получает [GetStaticModifier('speculative_share_modifier_6').GetName|v] на 12 месяцев;- Строит 5 [GetBuildingType('building_ef_private_construction').GetName] в случайной области\n- Блокирует расширение [GetBuildingType('building_ef_private_construction').GetName] на 12 месяцев\n- $speculative_share_9_button_tt_effect_1$\n- [GetPlayer.GetName] получает [GetStaticModifier('down_base_rate').GetName|v] на 12 месяцев\n- [GetPlayer.GetName] получает [GetStaticModifier('speculative_share_modifier_5').GetName|v] на 12 месяцев\n- [GetPlayer.GetName] получает [GetStaticModifier('speculative_share_modifier_6').GetName|v] на 12 месяцев;A/штат→область
01_ef_je;336;speculative_share_10_button_tt_effect_1_1;- Строит 10 [GetBuildingType('building_ef_private_construction').GetName] в случайном штате\n- Блокирует расширение [GetBuildingType('building_ef_private_construction').GetName] на 12 месяцев\n- $speculative_share_10_button_tt_effect_1$\n- $speculative_share_10_button_tt_effect_2$\n- [GetPlayer.GetName] получает [GetStaticModifier('down_base_rate').GetName|v] на 12 месяцев\n- [GetPlayer.GetName] получает [GetStaticModifier('speculative_share_modifier_5').GetName|v] на 12 месяцев\n- [GetPlayer.GetName] получает [GetStaticModifier('speculative_share_modifier_6').GetName|v] на 12 месяцев;- Строит 10 [GetBuildingType('building_ef_private_construction').GetName] в случайной области\n- Блокирует расширение [GetBuildingType('building_ef_private_construction').GetName] на 12 месяцев\n- $speculative_share_10_button_tt_effect_1$\n- $speculative_share_10_button_tt_effect_2$\n- [GetPlayer.GetName] получает [GetStaticModifier('down_base_rate').GetName|v] на 12 месяцев\n- [GetPlayer.GetName] получает [GetStaticModifier('speculative_share_modifier_5').GetName|v] на 12 месяцев\n- [GetPlayer.GetName] получает [GetStaticModifier('speculative_share_modifier_6').GetName|v] на 12 месяцев;A/штат→область
01_ef_je;338;speculative_share_11_button_tt_effect_1_1;- Строит 15 [GetBuildingType('building_ef_private_construction').GetName] в случайном штате\n- Блокирует расширение [GetBuildingType('building_ef_private_construction').GetName] на 12 месяцев\n- $speculative_share_11_button_tt_effect_1$\n- $speculative_share_11_button_tt_effect_2$\n- [GetPlayer.GetName] получает [GetStaticModifier('down_base_rate').GetName|v] на 12 месяцев\n- [GetPlayer.GetName] получает [GetStaticModifier('speculative_share_modifier_5').GetName|v] на 12 месяцев\n- [GetPlayer.GetName] получает [GetStaticModifier('speculative_share_modifier_6').GetName|v] на 12 месяцев;- Строит 15 [GetBuildingType('building_ef_private_construction').GetName] в случайной области\n- Блокирует расширение [GetBuildingType('building_ef_private_construction').GetName] на 12 месяцев\n- $speculative_share_11_button_tt_effect_1$\n- $speculative_share_11_button_tt_effect_2$\n- [GetPlayer.GetName] получает [GetStaticModifier('down_base_rate').GetName|v] на 12 месяцев\n- [GetPlayer.GetName] получает [GetStaticModifier('speculative_share_modifier_5').GetName|v] на 12 месяцев\n- [GetPlayer.GetName] получает [GetStaticModifier('speculative_share_modifier_6').GetName|v] на 12 месяцев;A/штат→область
01_ef_je;340;speculative_share_12_button_tt_effect_1_1;- Строит 20 [GetBuildingType('building_ef_private_construction').GetName] в случайном штате\n- Блокирует расширение [GetBuildingType('building_ef_private_construction').GetName] на 12 месяцев\n- $speculative_share_12_button_tt_effect_1$\n- $speculative_share_12_button_tt_effect_2$\n- [GetPlayer.GetName] получает [GetStaticModifier('down_base_rate').GetName|v] на 12 месяцев\n- [GetPlayer.GetName] получает [GetStaticModifier('speculative_share_modifier_5').GetName|v] на 12 месяцев\n- [GetPlayer.GetName] получает [GetStaticModifier('speculative_share_modifier_6').GetName|v] на 12 месяцев;- Строит 20 [GetBuildingType('building_ef_private_construction').GetName] в случайной области\n- Блокирует расширение [GetBuildingType('building_ef_private_construction').GetName] на 12 месяцев\n- $speculative_share_12_button_tt_effect_1$\n- $speculative_share_12_button_tt_effect_2$\n- [GetPlayer.GetName] получает [GetStaticModifier('down_base_rate').GetName|v] на 12 месяцев\n- [GetPlayer.GetName] получает [GetStaticModifier('speculative_share_modifier_5').GetName|v] на 12 месяцев\n- [GetPlayer.GetName] получает [GetStaticModifier('speculative_share_modifier_6').GetName|v] на 12 месяцев;A/штат→область
01_ef_je;343;speculative_share_13_button_tt_effect_1_1;Один [GetBuildingType('building_ef_private_construction').GetName] в случайном штате будет полностью демонтирован, что сократит общее число [GetBuildingType('building_ef_private_construction').GetName] в стране.;Один [GetBuildingType('building_ef_private_construction').GetName] в случайной области будет полностью демонтирован, что сократит общее число [GetBuildingType('building_ef_private_construction').GetName] в стране.;A/штат→область
01_ef_je;370;economic_instability_count;(Счёт: #T [GetPlayer.MakeScope.Var('economic_instability_count').GetValue|0]/2#!);(Счётчик: #T [GetPlayer.MakeScope.Var('economic_instability_count').GetValue|0]/2#!);A/смысл
01_ef_je;371;central_bank_bankruptcy_country_count;(Счёт: #T [GetPlayer.MakeScope.Var('central_bank_bankruptcy').GetValue|0]#!);(Счётчик: #T [GetPlayer.MakeScope.Var('central_bank_bankruptcy').GetValue|0]#!);A/смысл
01_ef_je;372;currency_crisis_country_count;(Счёт: #T [GetPlayer.MakeScope.Var('currency_crisis').GetValue|0]#!);(Счётчик: #T [GetPlayer.MakeScope.Var('currency_crisis').GetValue|0]#!);A/смысл
01_ef_je;373;economic_crisis_country_count;(Счёт: #T [GetPlayer.MakeScope.Var('economic_crisis').GetValue|0]#!);(Счётчик: #T [GetPlayer.MakeScope.Var('economic_crisis').GetValue|0]#!);A/смысл
01_ef_je;374;financial_crash_country_count;(Счёт: #T [GetPlayer.MakeScope.Var('financial_crash').GetValue|0]#!);(Счётчик: #T [GetPlayer.MakeScope.Var('financial_crash').GetValue|0]#!);A/смысл
01_ef_je;375;country_bankruptcy_count;(Счёт: #T [GetPlayer.MakeScope.Var('country_bankruptcy').GetValue|0]#!);(Счётчик: #T [GetPlayer.MakeScope.Var('country_bankruptcy').GetValue|0]#!);A/смысл
01_ef_law;25;law_no_monetary_policy;Без монетарной\nполитики;Без денежной\nполитики;C/термин
01_ef_law;34;law_revaluation_desc;Увеличение стоимости национальной валюты по отношению к золоту.;Повышение стоимости национальной валюты по отношению к золоту.;C/стиль
01_ef_law;36;law_large_monetary_policy_desc;Центральному банку предоставляются широкие полномочия для вмешательства в денежную политику, позволяющие проводить масштабное расширение или сокращение денежной массы. Такие полномочия дают правительству возможность решительно реагировать на экономические кризисы, стимулировать рост, финансировать чрезвычайные расходы или стабилизировать национальную валюту, когда это необходимо. Группы интересов охотнее поддерживают принятие этого закона, если доля металлических резервов центрального банка опускается ниже 75% или поднимается выше 125%.;Центральному банку предоставляются широкие полномочия для вмешательства в денежную сферу, позволяющие проводить масштабное расширение или сокращение денежной массы. Такие полномочия дают правительству возможность решительно реагировать на экономические кризисы, стимулировать рост, финансировать чрезвычайные расходы или стабилизировать национальную валюту, когда это необходимо. Заинтересованные группы охотнее поддерживают принятие этого закона, если доля металлических резервов центрального банка опускается ниже 75% или поднимается выше 125%.;C/термин
01_ef_law;48;law_bimetallism_standard;Биметаллизм;Биметаллический стандарт;C/термин
01_ef_law;111;law_eco_tuareg_ouguiya_currency;Туарегский угия;Туарегская угия;C/угия
01_ef_law;125;law_gulden_indies_guilder_currency;Голландский гульден Ост-Индии;Ост-индский гульден;C/гульден
01_ef_law;145;law_lira_scudo_pontificio_currency;Понтификский скудо;Папский скудо;C/скудо
01_ef_law;159;law_peso_costa_rican_colon_currency;Коста-риканский колон;Костариканский колон;C/колон
01_ef_law;190;law_spe_korean_won_currency;Вона;Корейская вона;C/термин
01_ef_law;196;law_spe_yen_currency;Йена;Иена;C/иена
01_ef_law;198;law_spe_zloti_currency;Злоты;Злотый;C/злотый
01_ef_law;207;law_dinar_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;208;law_dinar_algerian_dinar_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;209;law_dinar_iraqi_dinar_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;210;law_dinar_libyan_dinar_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;211;law_dinar_moroccan_dirham_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;212;law_dinar_omanian_rial_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;213;law_dinar_qiran_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;214;law_dinar_saudi_riyal_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;215;law_dinar_serbian_dinar_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;216;law_dinar_tunisian_dinar_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;217;law_dinar_yugoslav_dinar_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;218;law_dollar_australian_dollar_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;219;law_dollar_canadian_dollar_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;220;law_dollar_caribbean_dollar_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;221;law_dollar_confederate_states_dollar_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;222;law_dollar_liberian_dollar_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;223;law_dollar_new_zealand_dollar_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;224;law_dollar_sierra_leonean_dollar_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;225;law_dollar_united_states_dollar_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;226;law_eco_ariary_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;227;law_eco_central_african_eco_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;228;law_eco_east_african_eco_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;229;law_eco_ethiopian_birr_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;230;law_eco_ghanaian_pound_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;231;law_eco_nigerian_naira_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;232;law_eco_south_african_rand_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;233;law_eco_tuareg_ouguiya_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;234;law_eco_west_african_eco_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;235;law_franc_belgian_franc_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;236;law_franc_french_franc_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;237;law_franc_luxembourgish_franc_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;238;law_franc_swiss_franc_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;239;law_gulden_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;240;law_gulden_bavarian_gulden_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;241;law_gulden_florin_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;242;law_gulden_hungarian_forint_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;243;law_gulden_indies_guilder_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;244;law_gulden_south_german_gulden_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;245;law_krone_czech_koruna_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;246;law_krone_danish_krone_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;247;law_krone_estonian_kroon_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;248;law_krone_icelandic_krona_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;249;law_krone_norwegian_krone_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;250;law_krone_slovak_koruna_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;251;law_krone_swedish_krona_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;252;law_leon_leu_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;253;law_leon_lev_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;254;law_lira_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;255;law_lira_ducato_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;256;law_lira_ottoman_lira_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;257;law_lira_scudo_pontificio_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;258;law_lira_scudo_sardo_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;259;law_lira_toscane_lira_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;260;law_mark_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;261;law_mark_finnish_markka_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;262;law_peso_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;263;law_peso_argentine_peso_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;264;law_peso_bolivien_peso_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;265;law_peso_chilean_peso_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;266;law_peso_colombian_peso_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;267;law_peso_costa_rican_colon_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;268;law_peso_cuban_peso_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;269;law_peso_ecuadorian_peso_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;270;law_peso_el_salvador_colon_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;271;law_peso_guatemalan_quetzal_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;272;law_peso_honduran_lempira_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;273;law_peso_mexican_peso_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;274;law_peso_nicaraguan_cordoba_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;275;law_peso_paraguayan_peso_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;276;law_peso_philippine_peso_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;277;law_peso_sol_de_oro_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;278;law_peso_uruguayan_peso_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;279;law_peso_venezuelan_peso_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;280;law_pound_egyptian_pound_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;281;law_pound_irish_pound_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;282;law_pound_sterling_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;283;law_real_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;284;law_real_brazilian_real_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;285;law_rupee_indian_rupee_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;286;law_rupee_indonesian_rupiah_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;287;law_spe_baht_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;288;law_spe_dong_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;289;law_spe_drachma_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;290;law_spe_korean_won_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;291;law_spe_latvian_lats_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;292;law_spe_lithuanian_litas_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;293;law_spe_peseta_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;294;law_spe_ruble_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;295;law_spe_uni_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;296;law_spe_yen_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;297;law_spe_yuan_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;298;law_spe_zloti_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;299;law_thaler_hannoveraner_thaler_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;300;law_thaler_prussian_thaler_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;301;law_thaler_saxon_thaler_currency_desc;Сильному государству - сильная валюта.;Сильному государству — сильная валюта.;A/тире
01_ef_law;313;law_bimetallic_ratio_no_desc;Правительство не устанавливает никакого фиксированного соотношения конверсии между золотом и серебром. Чеканка следует рыночным оценкам, позволяя относительной цене обоих металлов свободно колебаться. Хотя это избегает арбитражных искажений, валюта становится более подверженной волатильности при расхождении цен на металлы.;Правительство не устанавливает фиксированного соотношения обмена между золотом и серебром. Чеканка следует рыночным оценкам, позволяя относительной цене обоих металлов свободно колебаться. Хотя это позволяет избежать арбитражных искажений, валюта становится более подверженной волатильности при расхождении цен на металлы.;A/калька
